query,rewritten,source,noisy_query
What was the author's reaction to McCain's statement about Sarah Palin exciting women and bringing them a step forward?,"What was the author's response (reaction, opinion) to McCain's comment (statement, remark) about Sarah Palin energizing (exciting, motivating) women and advancing (bringing) them a step forward (empowering, progressing)?",,What was the authro's reaction to McCani's statement about Sarah Palin exciting women and bringing them a step forward?
when was fluoride added to water in canada,"When was fluoride (fluorination, fluoridation) first introduced (added, incorporated) into drinking water (tap water, municipal water supply) in Canada?",,when was fluoride added to water in canada
number of snake bite deaths per year in us,"How many fatalities (deaths, mortalities) occur annually in the US due to snake bites (venomous attacks, serpent attacks)?",natural_questions,number of snake bite deaths per year in us
average salary of a coach in texas,"What is the average annual compensation (salary, wage) of a sports coach (trainer, instructor) in Texas (TX)?",ms_marco,average salary of a coach in texas
What is the method mentioned in the context to discourage beetles and promote plant growth simultaneously?,"What technique is described to deter beetles (insects, pests) and concurrently foster plant development (growth, flourishing)?",,What is the method mentioned in the context to discourage beetles and promote plant grpwth simultaneously?
what is blup,"What is Bluprint (Blup, blueprint, diagram, design)?",ms_marco,wht ia blup
who played billy on who's the boss,"What actor (performer, star) played the role of Billy (William) on the TV show ""Who's the Boss?""",natural_questions,who played billy on who's the boss
who was the book of acts written for,"Who was the intended audience (target readers, recipients) of the Book of Acts?",natural_questions,who was the nooko f acts writte for
how many i know what you did last summer films,"How many ""I Know What You Did Last Summer"" movie adaptations (films, sequels, remakes) are there?",natural_questions,howmany i know wht ro did as summwr fikms
posterior vena cava definition,"What is the definition of the posterior vena cava (inferior vena cava, PVC)?",ms_marco,posterior vena cava definition
where is robert johnson from,"What is the birthplace (hometown, origin) of Robert Johnson?",ms_marco,where is rpbert johnsob from
what incident lead to the downfall of the knights of labor,"What event (incident, occurrence) led to the decline (downfall, collapse) of the Knights of Labor union?",natural_questions,what incident lead to the downfall of the knihgts of labor
Who won the gold medal in the 800-meter freestyle relay at the 2008 Olympics?,"What athlete (competitor, winner) earned the gold medal in the 800m freestyle relay event at the 2008 Summer Olympics (Beijing Olympics)?",,Who won the gold medal in the800-meter freestyle relay at the 2008 Olymics?
How many aircraft are scheduled to participate on the Hood shot at the Nevada Test Site?,"How many airplanes (planes, jets) are scheduled to participate in the Hood event (exercise, operation) at the Nevada Test Site?",,How many aircraft are scheduled to participate on the Hood shot at the Nevada Test Site?
where was the first modern day olympic games held,"In what city (location, venue) was the first modern Olympic Games held (staged, organized) in the modern era?",natural_questions,here was th first mpd nday olmypichames held
who was the second woman appointed to the supreme court,"Who was the second female (woman, lady) justice appointed to the US Supreme Court?",natural_questions,who was the second woman appointed to the supreme court
how does the gut bacteria work,"How do gut microbiota (intestinal flora, gut flora) function?",ms_marco,how does the gut bacteria work
avoidable cost example,"What are some examples of unnecessary (avoidable, preventable) expenses (costs, expenditures)?",ms_marco,avodable cost xaple
What are some of the Christmas traditions described in the context?,"What are some Christmas customs (traditions, practices) described in the context (setting, background)?",,What are some of the Christmas traditions described in the context?
who is the constitutional presiding officer of the senate,"Who is the constitutional presiding officer (chair, leader) of the US Senate (upper chamber, legislative body)?",,who is the cnostitutional presiding officer of teh senate
where does the river mersey start,"What is the source (origin, beginning) of the River Mersey?",ms_marco,where does the river mersey start
who started the construction of qutab minar at delhi,"Who commissioned (initiated, founded) the construction of Qutab Minar in Delhi?",natural_questions,who stated theconstrution o uqtab minar at deli
how to pay tax on a used car,"What are the procedures (steps, methods) for paying taxes (levies, duties) on a pre-owned (used, second-hand) vehicle (car, automobile)?",ms_marco,how to pay tax on a used car
what is the deepest part of the detroit river,"What is the lowest (deepest, profoundest) point of the Detroit River?",natural_questions,whar is the deepest part og the detroit river
what episode is the family guy american dad crossover,"What episode features the crossover (intersection, collaboration) between Family Guy and American Dad?",,what episode is th efmaily guy smerican dad crossovwr
how much for a new furnace,"What is the average cost (price, expense) of a new furnace (heating system, boiler)?",ms_marco,how much for a neq furnqce
who were the sons of liberty and what was their purpose,"Who were the Sons of Liberty and what was their objective (goal, mission, aim)?",natural_questions,who were the ons of liberty and what was their puepose
what is the mother country of new york,"What is the original country (homeland, nation of origin) of the founders of New York?",,what is tje mother coubtrt of new york
who played tonto in the original lone ranger series,"Who portrayed (played, acted) Tonto in the classic (original, vintage) Lone Ranger television series?",natural_questions,who played tonto in the original lone ranger series
how long does it take for a apple core to decompose,"What is the decomposition time (duration, timeframe) for an apple core to biodegrade (break down, rot)?",ms_marco,how long does it take for a apple core to decompose
Who is Jonjo Heuerman and what is he known for?,"Who is Jonjo Heuermann and what is he famous (noted, renowned) for?",,Who is Jonjo Heuerman and what is he known for?
